INFO: 2024/05/13 21:51:59 database.go:36: Successfully connected to database
ERROR: 2024/05/13 21:58:06 fromISBN.go:98: Found 0 books for 2877646920
ERROR: 2024/05/13 21:58:10 fromISBN.go:98: Found 0 books for 9782723404631
ERROR: 2024/05/13 21:58:10 fromISBN.go:98: Found 0 books for 272340126X
ERROR: 2024/05/13 21:58:12 fromISBN.go:98: Found 0 books for 9782203700635
ERROR: 2024/05/13 21:58:14 fromISBN.go:98: Found 0 books for 9782226020987
ERROR: 2024/05/13 21:58:24 fromISBN.go:98: Found 0 books for 9782803606405
ERROR: 2024/05/13 21:58:26 fromISBN.go:98: Found 0 books for 2723404927
ERROR: 2024/05/13 21:58:26 fromISBN.go:98: Found 0 books for 9782505019930
ERROR: 2024/05/13 21:58:30 fromISBN.go:98: Found 0 books for 2731602708
ERROR: 2024/05/13 21:58:32 fromISBN.go:98: Found 0 books for 9782876870093
ERROR: 2024/05/13 21:58:33 fromISBN.go:98: Found 0 books for 9782876870079
ERROR: 2024/05/13 21:58:33 fromISBN.go:98: Found 0 books for 9782876870055
ERROR: 2024/05/13 21:58:34 fromISBN.go:98: Found 0 books for 9782876870048
ERROR: 2024/05/13 21:58:34 fromISBN.go:98: Found 0 books for 9782876870000
ERROR: 2024/05/13 21:58:37 fromISBN.go:98: Found 0 books for 295021122
ERROR: 2024/05/24 14:29:04 fromISBN.go:99: Found 0 books for 9782413019749
