9782205051292,2205051296,"Quatre rayons de lumière surgissent de la terre, provoquant des catastrophes... Quelle est la signification de ces rayons ? Un homme, Jacob Kandahar, a tout compris : la Terre est menacée de destruction !",,2001,48.000000,ApocalypseMania,Laurent-Frédéric Bollée;Philippe Aymond,,,9782205051292
9782205052688,2205052683,2010. L'année des mensonges. Les quatre rayons sont toujours là. Quatre faisceaux aux propriétés stupéfiantes. Quatre lumières venues d'ailleurs. Elles veulent dire quelque chose. Un seul homme a peut-être déjà percé le code qui expliquerait tout. Jacob Kandahar. Sa liberté à ce prix...,,2002-05-30,48.000000,ApocalypseMania,Laurent-Frédéric Bollée;Philippe Aymond,,,9782205052688
9782205053869,2205053868,"2011. L'année du message. Les rayons dévoilent leur mystère. Il fallait une clef pour ouvrir la porte vers la vérité. Un code. Jacob Kandahar n'est pas seul à le posséder. Un autre homme a tout compris. Guru ! Quand deux puissances se font face, c'est une de trop...",,2003-02-27,48.000000,ApocalypseMania,Laurent-Frédéric Bollée;Philippe Aymond,,,9782205053869
9782906187351,2906187356,,Productions Guy Delcourt,1989,46.000000,Aquablue,Thierry Cailleteau;Olivier Vatine,,,2906187356
9782906187306,2906187305,,Productions Guy Delcourt,1989,48.000000,Planète bleue,Thierry Cailleteau;Olivier Vatine,,,2906187305
9782872650095,2872650091,,,1992,48.000000,ARLEQUIN VOLUME 1 : LES ELEPHANTS SE PLUMENT A L'AUBE,Dany;Jean van Hamme,,,2872650091
9782872650101,2872650105,,,1992,48.000000,"ARLEQUIN VOLUME 2 : L'AS, LE ROI, LA DAME ET LE VALET",Dany;Jean van Hamme,,,2872650105
9782756009698,2756009695,"Une bande dessinée qui explique ce qu'est la BD : son histoire, son langage, sa technique. Traite aussi bien de la bande dessinée française, que des mangas et des comics, tout en analysant les liens et les influences croisées entre ces écoles.",,2007,222.000000,L'art invisible,Scott McCloud,,,9782756009698
,,"Collection ""Une aventure d'Asterix le Gaulois.""",Hodder Children's Books,1966,56.000000,Le combat des chefs,René Goscinny;Albert Uderzo,,,2205001701
9782205001907,2205001906,,,1992,47.000000,Une aventure d'Astérix,René Goscinny;Albert Uderzo,,,2205001906
9782731618846,2731618841,"Un astéroïde né de la destruction d'une planète file dans le vide intersidéral. Dans sa course pour l'éternité, il frôle des mondes habités et émet des ondes qui engendrent une transformation ou une crise. De cette rencontre déchirante, comme un papillon éjecté de sa chrysalide, naît alors une histoire... dure et acérée comme un minéral et brillante comme une comète. Ou plutôt onze histoires d'Alexandro Jodorowsky, dessinées par d'imparables étoiles filantes : Pascal Alixe, Igor Baranko, Ciruelo, Adi Granov, Christian Hojgaard, José Ladronn, Axel Medellin, Carlos Meglia, Jérôme Opena, Marc Riou, Mark Vigouroux & J.H.Williams III. Chaque histoire est reliée par la trajectoire de l'astéroïde hurlant, et dans un feu d'artifice de science-fiction, d'humour et de fantastique, illustre la philosophie cruelle et lucide du scénariste de "" L'Incal "", de "" La Caste des Méta-Barons "" ou de "" Bouncer "".",,2006-09-01,123.000000,Astéroïde hurlant,Alexandro Jodorowsky,,,9782731618846
9782723414548,272341454X,"""Les autorités russes de la ville de Samarkand demandent à Barry Lan de retrouver une famille anglaise disparue alors qu'elle explorait la région à bord d'un dirigeable.",,1992-12-01,48.000000,"Partout, l'éternité",Jeanine Rahir;Renée Rahir,,,9782723414548
9782226031693,2226031693,,,1987,55.000000,Le Bavard,Paolo Bacilieri;Martine Segard,,,9782226031693
9782205049879,2205049879,"Le vaisseau parti coloniser la planète Bételgeuse n'a plus donné signe de vie depuis six ans. Que s'est-il passé ? Quel lien existe-t-il entre ces événements et la Mantrisse, cette mystérieuse créature qui vit dans les gigantesques océans d'Aldébaran ? Partis à la recherche de réponses, Kim et ses compagnons sont à leur tour pris au piège et doivent se poser en catastrophe sur Bételgeuse...",,2001-03-01,48.000000,Les survivants,Léo,,,9782205049879
9782205054750,2205054759,"Les deux cycles existants de la collection des Mondes d'Aldébaran constituent incontestablement l'une des plus captivante séries de science-fiction de ces dernières années. L'auteur y raconte l'effort de l'humanité dans ses premières tentatives pour coloniser des planètes lointaines. Kim, confrontée à bien des aventures et des défis, débute son périple sur la planète Aldébaran puis sur Bételgeuse. Elle croisera d'étranges créatures, affrontera les dangers de mondes inconnus et subira les dégats provoqués par la folie des hommes. Leo ; son auteur, met en scène dans Aldébaran puis Bételgeuse et bientôt Antarès, une fantastique épopée humaniste.",,2004,48.000000,Les cavernes,Léo,,,9782205054750
9782850313097,2850313092,"Voilà une réalisation de qualité pour inciter les jeunes à entrer dans la Bible. Ils parcourront les livres du Nouveau Testament, acquérant ainsi un bagage suffisant pour entrer plus avant dans la Parole de Dieu.",,1998,287.000000,Le Nouveau testament en bandes dessinées,,,,2850313092
9782858150809,285815080X,,Fluide glacial - Audie,1981,51.000000,Les Bidochon,Christian Binet,,,9782858150809
9782724226928,2724226925,,,1985,51.000000,Les Bidochon,Christian Binet,,,2724226925
9782858150434,2858150435,,Fluide glacial - Audie,2001-11-06,51.000000,"Maison, sucrée maison",Christian Binet,,,9782858150434
9782858150588,2858150583,,Fluide glacial - Audie,1983,51.000000,Ragots intimes,Christian Binet,,,2858150583
9782870972922,287097292X,,,2020,55.000000,Le cri du Moloch,Jean Dufaux,,,9782870972922
9782205006391,2205006398,Western-tegneserie om nogle mænds vanvittige jagt efter guld i en vildsom bjergegn under en brændende sol.,,1995-12-01,54.000000,Le spectre aux balles d'or,Jean-Michel Charlier;Jean Giraud,,,9782205006391
9782901076049,2901076041,,,2001,64.000000,Les frustrés.,Claire Bretécher,,,2901076045
9782800141909,2800141905,,,2008-05-07,48.000000,Système Bill,Jean Roba,,,9782800141909
9782800107264,280010726X,Histoires courtes. Graphisme et personnages amusants. [SDM].,Editions Dupuis,1980-01-01,46.000000,Bill est maboul,Jean Roba,,,9782800107264
9782505006947,2505006946,,,2009,48.000000,"Bill, Boule et Bulles !",Jean Roba,,,9782505006947
9782226152664,2226152660,On la surnomme la Matriochka. C'est une chambre forte réputée inviolable. Le casse est suicidaire. Ils vont quand même essayer.,,2004-09-15,52.000000,Le cheval de Troie,"Saimbert,;Andrea Mutti",,,9782226152664
9791033512424,,,,2022,0.000000,Carbone & Silicium,Mathieu Bablet,,,9791033512424
9782723409865,2723409864,,,1988,47.000000,Le sextant,Michel Schetter,,,9782723409865
9782203338265,2203338261,L'Algérie au 19e siècle.,,1989,77.000000,L'Année de feu,Jacques Ferrandez,,,9782203338265
,,,,1994,436.000000,Livres hebdo,,,,9782803611003
9782731600018,2731600012,,,1979,69.000000,Champakou,,,,2731600012
