9784088513003,4088513002,南葛対ふらのの白熱する準決勝は、前半を1対1の同点でおりかえした。激しい攻防の末、両校とも1点ずつ取り合い残りわずか、1分を切った。それでも、満身創痍の翼は、最後の力を振り絞り...!!,,1986-05,0.000000,キャプテン翼 20,高橋陽一,,,9784088513003,
9784088518718,4088518713,いよいよ、全国中学生サッカー大会、南葛対東邦の決勝戦! 日向と翼は互いに、タイガーショット、ドライブシュートで得点しあい両者ゆずらず、熱戦が続く!! 果たして、先にリードをするのは...!?,,1986-07,0.000000,キャプテン翼 21,高橋陽一,,,4088518713,
9784088518725,4088518721,白熱する南葛対東邦の決勝戦! 圧倒的なパワーで、先にハットトリックを決めた日向は、南葛に対し東邦の勝利を高々と宣言! 2点差をつけられ意気消沈する南葛イレブンに対し、翼が檄をとばす!!,,1986-09,0.000000,キャプテン翼 22,高橋陽一,,,9784088518725,
9784088518732,408851873X,東邦に対して、3対2とリードされていた南葛だったが、後半10分、見事なチームプレイで同点においついた!! だが、翼のケガがますます悪化してしまい、立っているのがやっとになってしまった...!!,,1986-11,0.000000,キャプテン翼 23,高橋陽一,,,9784088518732,
9784088518749,4088518748,3対3と両者一歩も譲らず延長戦へともつれこんだ南葛対東邦の決勝戦!! 気力を振り絞りプレイを続ける翼は、ついに逆転に成功! だが、キズが悪化する翼にドクターストップが! 日向との決着は...!?,,1987,0.000000,キャプテン翼 24,高橋陽一,,,9784088518749,
9784088518756,4088518756,一時は南葛にリードされた東邦であったが、終了間際、日向のタイガーショットが南葛のゴールネットを揺らす! 両者、優勝をめざして最後の気力を振り絞る!! 南葛のV3か、それとも東邦のV1か?,,1987-03,0.000000,キャプテン翼 25,高橋陽一,,,9784088518756,
9784088518770,4088518772,ヨーロッパ勢の底力をまざまざと見せつけられた全日本Jr.だったが、翼の加入によって確実に戦力がアップ!! バイエルンと対戦し初勝利をもたらした。そして、もうひとりの実力者・岬太郎は?,,1987-07,0.000000,キャプテン翼 27,高橋陽一,,,9784088518770,
9784088518848,4088518845,ついに決勝へと駒を進めた全日本Jr.は、スーパーグレートゴールキーパー・若林源三も加わって、西ドイツJr.に挑む! しかし、西ドイツのキーパー・ミューラーの厚い壁が立ちはだかる...!!,,1988-09,0.000000,キャプテン翼 34,高橋陽一,,,9784088518848,

9784086173360,4086173360,,,1998-10,336.000000,キャプテン翼 16,高橋陽一,,,9784086173360,
9784086173377,4086173379,,,1998-12,336.000000,キャプテン翼 17,高橋陽一,,,9784086173377,
9784086173384,4086173387,,,1998-12,336.000000,キャプテン翼 18,高橋陽一,,,9784086173384,
9784086173391,4086173395,,,1999-02,328.000000,キャプテン翼 19,高橋陽一,,,9784086173391,
