,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782906187276,https://www.justbooks.fr/search/?keywords=9782906187276&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,4,"Elektra, tome 4",ELEKT,o,COMICS,Frank Miller,,,Delcourt,1989,Couverture souple,,,,https://pictures.abebooks.com/isbn/9782906187276-us-300.jpg,"€11,83",NaN
9780749316402,https://www.justbooks.fr/search/?keywords=9780749316402&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Judge Dredd,,Judge Dredd: Mechanismo,JUDGE,o,COMICS,"Wagner, John; Grant, Alan",,,Mandarin,1993,Couverture souple,anglais,"Mega-City One is at breaking-point, with iso-block break-outs and violent crime on the rise. The Judges are operating below normal strength. Cadets are being rushed into service before they are ready, and dying before their time. Judge Desmon Stich believes the solution is mechanoid judges.",3.63 Note moyenne,https://pictures.abebooks.com/isbn/9780749316402-us-300.jpg,"€54,26",NaN
2911033981,https://www.justbooks.fr/search/?keywords=2911033981&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Intégrale,,La League des Gentlemen extraordinaires,LEAGU,o,COMICS,"Moore, Alan; O'Neil, Kevin",,,USA,2001,Couverture rigide,français,,3.94 Note moyenne,https://pictures.abebooks.com/isbn/9782911033988-us-300.jpg,"€22,29",
2876870509,https://www.justbooks.fr/search/?keywords=2876870509&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",1,Jungles,LIBER,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870505-us-300.jpg,,
2876870517,https://www.justbooks.fr/search/?keywords=2876870517&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",2,Déserts,LIBER,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870512-us-300.jpg,,
2876870614,https://www.justbooks.fr/search/?keywords=2876870614&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",3,Forêts,LIBER,o,COMICS,Miller-F+Gibbons-d,,,Zenda,1995,Couverture rigide,Francés,,,https://pictures.abebooks.com/isbn/9782876870611-us-300.jpg,,
2876870630,https://www.justbooks.fr/search/?keywords=2876870630&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",4,Frontières,LIBER,o,COMICS,,,,,,Couverture rigide,français,Rare book,,https://pictures.abebooks.com/isbn/9782876870635-us-300.jpg,,
9782876870208,https://www.justbooks.fr/search/?keywords=9782876870208&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Marshal Law,1,Chasseur de héros,MARSH,o,COMICS,Mills,,,Zenda,1989,Couverture souple,Français,,4.50 Note moyenne,https://pictures.abebooks.com/isbn/9782876870208-us-300.jpg,,NaN
9782876870307,https://www.justbooks.fr/search/?keywords=9782876870307&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Marshal Law,2,Bactérie,MARSH,o,COMICS,Pat Mills,,,Zenda,1990,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782876870307-us-300.jpg,"€12,74",NaN
9782876870420,https://www.justbooks.fr/search/?keywords=9782876870420&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Marshal Law,3,Spirit of America,MARSH,o,COMICS,Mills & O'neill,,,Zenda,1990,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876870420-us-300.jpg,,NaN
287687024X,https://www.justbooks.fr/search/?keywords=287687024X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,L'Orchidée noire,1,Secrets,ORCHI,o,COMICS,Gaiman Mc Kean,,,Zenda,1990,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870246-us-300.jpg,,
2876870347,https://www.justbooks.fr/search/?keywords=2876870347&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,L'Orchidée noire,2,Asile,ORCHI,o,COMICS,Neil Gaiman & Dave Mc Kean,,,,,Couverture souple,français,,,https://pictures.abebooks.com/isbn/9782876870345-us-300.jpg,,
2876870479,https://www.justbooks.fr/search/?keywords=2876870479&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,L'Orchidée noire,3,Paradis,ORCHI,o,COMICS,,,,Zenda,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870475-us-300.jpg,"€22,98",
2914082959,https://www.justbooks.fr/search/?keywords=2914082959&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Powers,2,Roleplay,POWER,o,COMICS,,,,,,Couverture souple,français,,4.03 Note moyenne,https://pictures.abebooks.com/isbn/9782914082952-us-300.jpg,,
,,Powers,1,?,POWER,o,COMICS,,,,,,,,,,,,
287695172X,https://www.justbooks.fr/search/?keywords=287695172X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman,1,Proie,BATMA,o,COMICS,,,,,,Couverture souple,français,,,https://pictures.abebooks.com/isbn/9782876951723-us-300.jpg,,
9782876870116,https://www.justbooks.fr/search/?keywords=9782876870116&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,1,Sacrifice,RONIN,o,COMICS,"Miller, Frank",,,Zenda,1990,Couverture rigide,Français,Hardcover Bande Dessinee album. Text in French.,3.97 Note moyenne,https://pictures.abebooks.com/isbn/9782876870116-us-300.jpg,,NaN
9782876870130,https://www.justbooks.fr/search/?keywords=9782876870130&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,2,Déchéance,RONIN,o,COMICS,"Miller, Frank",,,Zenda,1990,Couverture rigide,Français,Hardcover Bande Dessinee album. Text in French.,3.93 Note moyenne,https://pictures.abebooks.com/isbn/9782876870130-us-300.jpg,,NaN
9782876870154,https://www.justbooks.fr/search/?keywords=9782876870154&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,3,Retour,RONIN,o,COMICS,"Miller, Frank",,,Zenda,1990,Couverture rigide,Français,Hardcover Bande Dessinee album. Text in French.,4.00 Note moyenne,https://pictures.abebooks.com/isbn/9782876870154-us-300.jpg,,NaN
9782876870239,https://www.justbooks.fr/search/?keywords=9782876870239&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,4,Enfers,RONIN,o,COMICS,"Miller, Frank",,,Zenda,1990,Couverture rigide,Français,,4.00 Note moyenne,https://pictures.abebooks.com/isbn/9782876870239-us-300.jpg,,NaN
9782876870352,https://www.justbooks.fr/search/?keywords=9782876870352&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,5,Pièges,RONIN,o,COMICS,Frank Miller,,,Zenda,1990,Couverture rigide,,,3.62 Note moyenne,https://pictures.abebooks.com/isbn/9782876870352-us-300.jpg,,NaN
9782876870444,https://www.justbooks.fr/search/?keywords=9782876870444&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ronin,6,Assaut,RONIN,o,COMICS,"Miller, Frank",,,Zenda,1990,Couverture rigide,Français,,3.71 Note moyenne,https://pictures.abebooks.com/isbn/9782876870444-us-300.jpg,,NaN
9781852864682,https://www.justbooks.fr/search/?keywords=9781852864682&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Sin City,SINCI,o,COMICS,"Miller, Frank","Miller, Frank","Miller, Frank",Titan Books Ltd,1993,Couverture souple,anglais,None,4.15 Note moyenne,https://pictures.abebooks.com/isbn/9781852864682-us-300.jpg,"€103,78",NaN
2841640337,https://www.justbooks.fr/search/?keywords=2841640337&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Star wars, l'héritier de l'Empire",2,"Star wars, l'heritier de l empire, tome 2",STARW,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782841640331-us-300.jpg,,
2841640515,https://www.justbooks.fr/search/?keywords=2841640515&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Star wars, l'héritier de l'Empire",3,"Star wars, l'heritier de l empire, tome 3 :",STARW,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782841640515-us-300.jpg,"€39,99",
9782877646864,https://www.justbooks.fr/search/?keywords=9782877646864&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Star wars, la bataille des Jedi",1,"Star wars, la bataille des jedi, tome 1 :",STARW,o,COMICS,"Baron, Mike; Dodson, Terry; Nowlan, Kevin; Rambo, Pamela",,,Soleil Productions,1998,,Français,,,https://pictures.abebooks.com/isbn/9782877646864-us-300.jpg,"€13,99",NaN
9782877646932,https://www.justbooks.fr/search/?keywords=9782877646932&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Star wars, la bataille des Jedi",2,"Star wars, la bataille des jedi, tome 2 :",STARW,o,COMICS,"Baron, Mike; Dodson, Terry; Nowlan, Kevin; Rambo, Pamela",,,Soleil Productions,1998,,Français,,,https://pictures.abebooks.com/isbn/9782877646932-us-300.jpg,,NaN
2841640124,https://www.justbooks.fr/search/?keywords=2841640124&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Star wars, l'héritier de l'Empire",1,"Star Wars, tome 1: l'Héritier de l'Empire",STARW,o,COMICS,,,,Dark Horse France,,Couverture rigide,français,,4.02 Note moyenne,https://pictures.abebooks.com/isbn/9782841640126-us-300.jpg,"€6,18",
9782876870161,https://www.justbooks.fr/search/?keywords=9782876870161&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,V pour Vendetta,3,La valse du vice,VPOUR,o,COMICS,MOORE-A+LLOYD-D,,,Glénat BD,1998,Couverture souple,Français,,3.88 Note moyenne,https://pictures.abebooks.com/isbn/9782876870161-us-300.jpg,"€30,99",NaN
9782876870215,https://www.justbooks.fr/search/?keywords=9782876870215&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,V pour Vendetta,4,Valerie,VPOUR,o,COMICS,MOORE-A+LLOYD-D,,,Glénat BD,1998,Couverture souple,Français,,,https://pictures.abebooks.com/isbn/9782876870215-us-300.jpg,,NaN
9782876870291,https://www.justbooks.fr/search/?keywords=9782876870291&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,V pour Vendetta,5,Voyages,VPOUR,o,COMICS,MOORE-A+LLOYD-D,,,Glénat BD,1998,Couverture souple,Français,,4.20 Note moyenne,https://pictures.abebooks.com/isbn/9782876870291-us-300.jpg,,NaN
