,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
,,Appleseed,5,Appleseed - Tome 5,APPLE,o,MANGA,,,,,,,,,,,,
9782916739366,https://www.justbooks.fr/search/?keywords=9782916739366&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Freaks' Squeele,1,Étrange université,FREAK,o,MANGA,Maudoux Florent,,,Ankama Editions,2008,Couverture souple,Français,None,4.18 Note moyenne,https://pictures.abebooks.com/isbn/9782916739366-us-300.jpg,"€15,91",NaN
,,Freaks' Squeele,3,Le tango de la mort,FREAK,o,MANGA,,,,,,,,,,,,
,,Freaks' Squeele,4,Succube Pizza,FREAK,o,MANGA,,,,,,,,,,,,
9782359102628,https://www.justbooks.fr/search/?keywords=9782359102628&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Freaks' Squeele,5,Nanorigines,FREAK,o,MANGA,"Maudoux, Florent",,,Ankama éditions,2012,Couverture souple,Français,None,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782359102628-us-300.jpg,"€48,30",NaN
9782359104530,https://www.justbooks.fr/search/?keywords=9782359104530&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Freaks' Squeele,6,Clémentine,FREAK,o,MANGA,,,,Ankama éditions,2013,Couverture rigide,Français,None,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782359104530-us-300.jpg,"€9,90",NaN
9782359105278,https://www.justbooks.fr/search/?keywords=9782359105278&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Freaks' Squeele,7,A-Move & Z- Movie,FREAK,o,MANGA,"Maudoux, Florent",,,ANKAMA EDITIONS,2015,Couverture souple,Français,"En avant pour le dernier round opposant les étudiants de la fac aux gardiens de la tradition des super-héros ! Un mur encercle le campus, l'isolant du reste du monde. Coincée entre les deux camps, la trinité de la Mort ne peut soutenir la jeune génération ouvertement. Entre guerre médiatique et émeutes urbaines, le combat paraît bien inégal. Chance et ses amis auront affaire à un ennemi surpuissant qui n'hésitera pas à faire l'usage d'une arme de destruction massive redoutable : l'oubli.",4.27 Note moyenne,https://pictures.abebooks.com/isbn/9782359105278-us-300.jpg,"€15,91",NaN
9782203396418,https://www.justbooks.fr/search/?keywords=9782203396418&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Un ciel radieux,CIELR,o,MANGA,"Taniguchi, Jirô",,,Casterman,2006,Couverture souple,Français,"Une nuit d'été, un terrible accident a lieu dans une rue de la banlieue de Tokyo, entre un motard et une fourgonnette. 10 jours plus tard, le conducteur de la fourgonnette, Kazuhiro Kubota, 42 ans, meurt sans avoir repris connaissance. Au même instant, l'encéphalogramme du motard, Takuya Onodera, 17 ans, en état de mort cérébrale, montre à nouveau des signes d'activité. En une vingtaine de jours, il a repris connaissance et semble en voie de guérison totale : un vrai miracle. Mais celui qui se réveille dans le corps de Takuya, c'est Kazuhiro. Après un instant de surprise, il admet ce qui lui arrive et comprend qu'une deuxième chance lui a été donnée. Mais cette chance est temporaire : en effet, la mémoire du vrai Takuya lui revient petit à petit. Avant de rendre le corps de Takuya à son légitime propriétaire, Kubota décide de transmettre coûte que coûte à sa femme et sa petite fille de 8 ans qu'il les aime et qu'il regrette de les avoir trop souvent négligées jusqu'à sa mort. Mais qui pourra croire son histoire ?",3.84 Note moyenne,https://pictures.abebooks.com/isbn/9782203396418-us-300.jpg,"€29,94",NaN
9782723421096,https://www.justbooks.fr/search/?keywords=9782723421096&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Ghost in the shell,2,Ghost in the shell - Tome 02,GHOST,o,MANGA,"Masamune, Shirow",,,Glénat,1996,Couverture rigide,Français,,4.07 Note moyenne,https://pictures.abebooks.com/isbn/9782723421096-us-300.jpg,"€52,99",NaN
9782723423861,https://www.justbooks.fr/search/?keywords=9782723423861&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,MANGA,,The Ghost in the shell - Tome 03,THEGH,o,MANGA,Masamune Shirow,,,Glénat,2002,Couverture souple,Français,,4.23 Note moyenne,https://pictures.abebooks.com/isbn/9782723423861-us-300.jpg,"€25,85",NaN
9782723442541,https://www.justbooks.fr/search/?keywords=9782723442541&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,MANGA,,The Ghost in the shell - Tome 04,THEGH,o,MANGA,Masamune Shirow,,,Glénat,2003,Couverture souple,Français,,4.43 Note moyenne,https://pictures.abebooks.com/isbn/9782723442541-us-300.jpg,,NaN
9782871298663,https://www.justbooks.fr/search/?keywords=9782871298663&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Icare,ICARE,o,MANGA,"Moebius; Taniguchi, Jirô; Annestay, Jean",,,Kana,2005,Couverture souple,Français,,3.11 Note moyenne,https://pictures.abebooks.com/isbn/9782871298663-us-300.jpg,"€14,62",NaN
9782723468343,https://www.justbooks.fr/search/?keywords=9782723468343&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,1,Nausicaä - Tome 1,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat Manga,2009,Couverture souple,Français,,4.47 Note moyenne,https://pictures.abebooks.com/isbn/9782723468343-us-300.jpg,"€10,76",NaN
