INFO: 2024/04/14 21:02:00 dbconvert.go:58: Row 797 was dismissed 
INFO: 2024/04/14 21:02:41 dbconvert.go:58: Row 852 was dismissed 
INFO: 2024/04/14 21:02:41 dbconvert.go:58: Row 853 was dismissed 
INFO: 2024/04/14 21:02:42 dbconvert.go:58: Row 855 was dismissed 
INFO: 2024/04/14 21:02:43 dbconvert.go:58: Row 857 was dismissed 
INFO: 2024/04/14 21:02:43 dbconvert.go:58: Row 858 was dismissed 
INFO: 2024/04/14 21:02:50 dbconvert.go:58: Row 869 was dismissed 
INFO: 2024/04/14 21:02:51 dbconvert.go:58: Row 872 was dismissed 
INFO: 2024/04/14 21:02:57 dbconvert.go:58: Row 881 was dismissed 
INFO: 2024/04/14 21:02:59 dbconvert.go:58: Row 884 was dismissed 
INFO: 2024/04/14 21:03:05 dbconvert.go:58: Row 893 was dismissed 
INFO: 2024/04/14 21:04:08 dbconvert.go:58: Row 978 was dismissed 
INFO: 2024/04/14 21:04:08 dbconvert.go:58: Row 979 was dismissed 
INFO: 2024/04/14 21:04:08 dbconvert.go:58: Row 980 was dismissed 
INFO: 2024/04/14 21:04:08 dbconvert.go:58: Row 981 was dismissed 
INFO: 2024/04/14 21:04:14 dbconvert.go:58: Row 992 was dismissed 
INFO: 2024/04/14 21:04:15 dbconvert.go:58: Row 994 was dismissed 
INFO: 2024/04/14 21:04:16 dbconvert.go:58: Row 997 was dismissed 
INFO: 2024/04/14 21:04:24 dbconvert.go:58: Row 1008 was dismissed 
INFO: 2024/04/14 21:04:24 dbconvert.go:58: Row 1009 was dismissed 
INFO: 2024/04/14 21:04:24 dbconvert.go:58: Row 1011 was dismissed 
INFO: 2024/04/14 21:04:24 dbconvert.go:58: Row 1012 was dismissed 
INFO: 2024/04/14 21:04:34 dbconvert.go:58: Row 1027 was dismissed 
INFO: 2024/04/14 21:04:39 dbconvert.go:58: Row 1033 was dismissed 
INFO: 2024/04/14 21:04:47 dbconvert.go:58: Row 1043 was dismissed 
INFO: 2024/04/14 21:04:49 dbconvert.go:58: Row 1047 was dismissed 
INFO: 2024/04/14 21:04:49 dbconvert.go:58: Row 1048 was dismissed 
INFO: 2024/04/14 21:04:50 dbconvert.go:58: Row 1051 was dismissed 
INFO: 2024/04/14 21:04:54 dbconvert.go:58: Row 1058 was dismissed 
INFO: 2024/04/14 21:05:02 dbconvert.go:58: Row 1071 was dismissed 
INFO: 2024/04/14 21:05:37 dbconvert.go:58: Row 1122 was dismissed 
INFO: 2024/04/14 21:05:41 dbconvert.go:58: Row 1128 was dismissed 
INFO: 2024/04/14 21:05:51 dbconvert.go:58: Row 1145 was dismissed 
INFO: 2024/04/14 21:05:51 dbconvert.go:58: Row 1146 was dismissed 
INFO: 2024/04/14 21:05:51 dbconvert.go:58: Row 1147 was dismissed 
INFO: 2024/04/14 21:05:52 dbconvert.go:58: Row 1149 was dismissed 
INFO: 2024/04/14 21:05:52 dbconvert.go:58: Row 1150 was dismissed 
INFO: 2024/04/14 21:05:59 dbconvert.go:58: Row 1163 was dismissed 
INFO: 2024/04/14 21:06:01 dbconvert.go:58: Row 1166 was dismissed 
INFO: 2024/04/14 21:06:03 dbconvert.go:58: Row 1171 was dismissed 
INFO: 2024/04/14 21:06:03 dbconvert.go:58: Row 1172 was dismissed 
INFO: 2024/04/14 21:06:05 dbconvert.go:58: Row 1175 was dismissed 
INFO: 2024/04/14 21:06:05 dbconvert.go:58: Row 1177 was dismissed 
INFO: 2024/04/14 21:06:05 dbconvert.go:58: Row 1178 was dismissed 
INFO: 2024/04/14 21:06:06 dbconvert.go:58: Row 1180 was dismissed 
INFO: 2024/04/14 21:06:21 dbconvert.go:58: Row 1201 was dismissed 
INFO: 2024/04/14 21:06:22 dbconvert.go:58: Row 1204 was dismissed 
INFO: 2024/04/14 21:06:22 dbconvert.go:58: Row 1205 was dismissed 
INFO: 2024/04/14 21:06:24 dbconvert.go:58: Row 1208 was dismissed 
INFO: 2024/04/14 21:06:43 dbconvert.go:58: Row 1237 was dismissed 
INFO: 2024/04/14 21:06:43 dbconvert.go:58: Row 1238 was dismissed 
INFO: 2024/04/14 21:06:48 dbconvert.go:58: Row 1245 was dismissed 
INFO: 2024/04/14 21:06:58 dbconvert.go:58: Row 1265 was dismissed 
INFO: 2024/04/14 21:07:08 dbconvert.go:58: Row 1278 was dismissed 
INFO: 2024/04/14 21:07:09 dbconvert.go:58: Row 1280 was dismissed 
INFO: 2024/04/14 21:07:25 dbconvert.go:58: Row 1305 was dismissed 
INFO: 2024/04/14 21:07:26 dbconvert.go:58: Row 1307 was dismissed 
INFO: 2024/04/14 21:07:31 dbconvert.go:58: Row 1316 was dismissed 
