ERROR: 2024/04/16 20:25:40 createauthors.go:35: Found 0 book for 9782723406666
ERROR: 2024/04/16 20:25:42 createauthors.go:41: No author found for 9782723406819
ERROR: 2024/04/16 20:25:45 createauthors.go:41: No author found for 9782723407526
ERROR: 2024/04/16 20:25:46 createauthors.go:35: Found 0 book for 9782723407564
ERROR: 2024/04/16 20:25:46 createauthors.go:35: Found 0 book for 9782723407663
ERROR: 2024/04/16 20:25:50 createauthors.go:35: Found 0 book for 9782723407861
ERROR: 2024/04/16 20:25:54 createauthors.go:35: Found 0 book for 9782723408301
ERROR: 2024/04/16 20:25:55 createauthors.go:35: Found 0 book for 9782723408387
ERROR: 2024/04/16 20:25:56 createauthors.go:35: Found 0 book for 9782723408394
ERROR: 2024/04/16 20:25:56 createauthors.go:35: Found 0 book for 9782723408462
ERROR: 2024/04/16 20:25:59 createauthors.go:35: Found 0 book for 9782723408561
ERROR: 2024/04/16 20:26:00 createauthors.go:35: Found 0 book for 9782723408912
ERROR: 2024/04/16 20:26:02 createauthors.go:35: Found 0 book for 9782723408950
ERROR: 2024/04/16 20:26:05 createauthors.go:35: Found 0 book for 9782723409247
ERROR: 2024/04/16 20:26:08 createauthors.go:41: No author found for 9782723409445
ERROR: 2024/04/16 20:26:09 createauthors.go:35: Found 0 book for 9782723409483
ERROR: 2024/04/16 20:26:14 createauthors.go:35: Found 0 book for 9782723409940
ERROR: 2024/04/16 20:26:18 createauthors.go:35: Found 0 book for 9782723410311
ERROR: 2024/04/16 20:26:20 createauthors.go:35: Found 0 book for 9782723410724
ERROR: 2024/04/16 20:26:20 createauthors.go:35: Found 0 book for 9782723410731
ERROR: 2024/04/16 20:26:29 createauthors.go:35: Found 0 book for 9782723411295
ERROR: 2024/04/16 20:26:32 createauthors.go:35: Found 0 book for 9782723411493
ERROR: 2024/04/16 20:26:39 createauthors.go:35: Found 0 book for 9782723411998
ERROR: 2024/04/16 20:26:58 createauthors.go:35: Found 0 book for 9782723413145
ERROR: 2024/04/16 20:27:08 createauthors.go:35: Found 0 book for 9782723414173
ERROR: 2024/04/16 20:27:45 createauthors.go:35: Found 0 book for 9782723417372
ERROR: 2024/04/16 20:28:37 createauthors.go:35: Found 0 book for 9782723426060
ERROR: 2024/04/16 20:28:51 createauthors.go:35: Found 0 book for 9782723430647
ERROR: 2024/04/16 20:28:53 createauthors.go:35: Found 0 book for 9782723431453
ERROR: 2024/04/16 20:29:03 createauthors.go:35: Found 0 book for 9782723437325
ERROR: 2024/04/16 20:29:08 createauthors.go:35: Found 0 book for 9782724230024
ERROR: 2024/04/16 20:29:08 createauthors.go:35: Found 0 book for 9782724230048
ERROR: 2024/04/16 20:29:09 createauthors.go:41: No author found for 9782731600186
ERROR: 2024/04/16 20:29:11 createauthors.go:41: No author found for 9782731600353
ERROR: 2024/04/16 20:29:11 createauthors.go:35: Found 0 book for 9782731600360
