,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782723422178,https://www.justbooks.fr/search/?keywords=9782723422178&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Cinjis Qan,2,L'ombre des conquérants,CINJI,o,,"Cothias, Patrick; Griffo",,,Glénat,1996,Couverture souple,Français,,3.67 Note moyenne,https://pictures.abebooks.com/isbn/9782723422178-us-300.jpg,,NaN
9782731605549,https://www.justbooks.fr/search/?keywords=9782731605549&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,La Citadelle aveugle,CITAD,o,,Moebius,,,Les Humanoïdes associés,1989,Couverture rigide,Français,,3.52 Note moyenne,https://pictures.abebooks.com/isbn/9782731605549-us-300.jpg,"€24,98",NaN
2203335130,NA,Les Cités Obscures,1,Les murailles de Samaris,CITES,o,,,,,,,,,,,,,
2203334231,https://www.justbooks.fr/search/?keywords=2203334231&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Cités Obscures,2,La fièvre d'Urbicande,CITES,o,,,,,,,,,,,https://pictures.abebooks.com/isbn/9782203334236-us-300.jpg,"€33,45",
9782203343030,https://www.justbooks.fr/search/?keywords=9782203343030&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Cités Obscures,5,La Route d'Armilia,CITES,o,,,,,Casterman,1993,Couverture rigide,Français,,3.68 Note moyenne,https://pictures.abebooks.com/isbn/9782203343030-us-300.jpg,"€96,83",NaN
2203343095,https://www.justbooks.fr/search/?keywords=2203343095&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Cités Obscures,7,Brüsel,CITES,o,,"Schuiten, François; Peeters, Benoît",,,Casterman,1993,Couverture rigide,français,"Editeur : Casterman Date de parution : 1992 Description : In-4, 112 pages, relié cartonné avec jaquette parfaite, édition originale, occasion, très bon état. Envois quotidiens du mardi au samedi. Les commandes sont adressées sous enveloppes bulles. Photos supplémentaires de l'ouvrage sur simple demande. Réponses aux questions dans les 12h00. Librairie Le Piano-Livre. Merci. Référence catalogue vendeur: X4254. Please let us know if you have any questions. Thanks",3.86 Note moyenne,https://pictures.abebooks.com/isbn/9782203343092-us-300.jpg,"€24,99",
2203343176,https://www.justbooks.fr/search/?keywords=2203343176&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Cités obscures,8,La Frontiere Invisible Tome 1,CITES,o,,"Schuiten, Francois",,,Last Gasp,2003,Couverture rigide,français,"Les Cites Obscures: LA Frontiere Invisible 1 (French Edition) [Apr 19, 2002] Schuiten, Francois",3.92 Note moyenne,https://pictures.abebooks.com/isbn/9782203343177-us-300.jpg,"€56,78",
2203343184,https://www.justbooks.fr/search/?keywords=2203343184&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Cités obscures,9,La Frontiere Invisible Tome 2,CITES,o,,,,,CASTERMAN,2004,Couverture rigide,français,,3.75 Note moyenne,https://pictures.abebooks.com/isbn/9782203343184-us-300.jpg,"€51,68",
2840555417,https://www.justbooks.fr/search/?keywords=2840555417&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Clan des chimères,1,"Abeau, le tribut aux enfers",CLAND,o,,Corbeyran; Hubert,,,Delcourt,2001,Couverture rigide,français,,3.00 Note moyenne,https://pictures.abebooks.com/isbn/9782840555414-us-300.jpg,"€17,15",
2840556790,https://www.justbooks.fr/search/?keywords=2840556790&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Clan des chimères,2,Bûcher,CLAND,o,,"Suro, Eric; Hubert & Yannick; Suro, Michel; Corbeyran, Eric",,,Delcourt,2002,Couverture rigide,français,,3.40 Note moyenne,https://pictures.abebooks.com/isbn/9782840556794-us-300.jpg,,
2840559919,https://www.justbooks.fr/search/?keywords=2840559919&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Clan des chimères,3,Ordalie,CLAND,o,,"Corbeyran; Suro, Michel",,,Delcourt,2003,Couverture rigide,français,,3.30 Note moyenne,https://pictures.abebooks.com/isbn/9782840559917-us-300.jpg,"€5,25",
284789215X,https://www.justbooks.fr/search/?keywords=284789215X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Clan des chimères,4,Sortilège,CLAND,o,,,,,,,,français,,3.25 Note moyenne,https://pictures.abebooks.com/isbn/9782847892154-us-300.jpg,,
273160137X,https://www.justbooks.fr/search/?keywords=273160137X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Clichés d'amour,CLICH,o,,"Paringaux, Philippe; Loustal",,,Les Humanoïdes associés,1982,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782731601374-us-300.jpg,,
